1,1. Mose,1. Mo
2,2. Mose,2. Mo
3,3. Mose,3. Mo
4,4. Mose,4. Mo
5,5. Mose,5. Mo
6,Josua,Jos
7,Richter,Ri
8,Ruth,Rt
9,1. Samuel,1. Sam
10,2. Samuel,2. Sam
11,1. Könige,1. Kön
12,2. Könige,2. Kön
13,1. Chronika,1. Chr
14,2. Chronika,2. Chr
15,Esra,Esra
16,Nehemia,Neh
17,Esther,Est
18,Hiob,Hiob
19,Psalm,Ps
20,Sprüche,Spr
21,Prediger,Pred
22,Hohelied,Hld
23,Jesaja,Jes
24,Jeremia,Jer
25,Klagelieder,Klgl
26,Hesekiel,Hes
27,Daniel,Dan
28,Hosea,Hos
29,Joel,Joel
30,Amos,Amos
31,Obadja,Obad
32,Jona,Jona
33,Micha,Mich
34,Nahum,Nah
35,Habakuk,Hab
36,Zephanja,Zeph
37,Haggai,Hag
38,Sacharja,Sach
39,Maleachi,Mal
40,Matthaeus,Mt
41,Markus,Mk
42,Lukas,Lk
43,Johannes,Joh
44,Apostelgeschichte,Apg
45,Roemer,Röm
46,1. Korinther,1. Kor
47,2. Korinther,2. Kor
48,Galater,Gal
49,Epheser,Eph
50,Philipper,Phil
51,Kolosser,Kol
52,1. Thessalonicher,1. Thes
53,2. Thessalonicher,2. Thes
54,1. Timotheus,1. Tim
55,2. Timotheus,2. Tim
56,Titus,Tit
57,Philemon,Phlm
58,Hebraeer,Heb
59,Jakobus,Jak
60,1. Petrus,1. Pet
61,2. Petrus,2. Pet
62,1. Johannes,1. Joh
63,2. Johannes,2. Joh
64,3. Johannes,3. Joh
65,Judas,Jud
66,Offenbarung,Off
